기출년도,과목,문제,보기1,보기2,보기3,보기4,정답,해설,이미지
"2021","상법(보험편)","11. 보험자의 계약해지와 보험금청구권에 관한 설명으로 옳은 것을 모두 고른 것은?
ㄱ. 보험사고 발생 후라도 보험계약자의 계속보험료 지급지체를 이유로 보험자가 계약을 해지하였을 때에는 보험금을 지급할 책임이 있다.
ㄴ. 보험사고 발생 후에 보험계약자가 고지의무를 위반한 사실이 보험사고 발생에 영향을 미치지 아니하였음이 증명된 경우에는 보험자는 보험금을 지급할 책임이 있다.
ㄷ. 보험수익자의 중과실로 인하여 사고발생의 위험이 현저하게 변경되거나 증가된 사실이 보험사고 발생에 영향을 미치지 아니하였음이 증명된 경우에는 보험자는 보험금을 지급할 책임이 있다.","1. ㄷ","2. ㄱ, ㄴ","3. ㄴ, ㄷ","4. ㄱ, ㄴ, ㄷ","3","ㄴ과 ㄷ은 인과관계가 부존재할 때 보험자의 책임이 유지된다는 옳은 설명이다. ㄱ의 경우 보험료 지체로 해지되면 해지 이후 발생 사고에 대해 책임이 없으나 발생 후 해지는 사안에 따라 다르나 일반적으로 보험자의 면책이 원칙이다(해지 전 사고는 유효하나 약관에 따름). 최종정답은 ㄴ, ㄷ이다.",""
"2021","상법(보험편)","12. 보험사고발생의 통지의무에 관한 설명으로 옳은 것은?","1. 상법은 보험사고발생의 통지의무위반 시 보험자의 계약해지권을 규정하고 있다.","2. 보험계약자는 보험사고의 발생을 안 때에는 상당한 기간 내에 보험자에게 그 통지를 발송하여야 한다.","3. 피보험자가 보험사고발생의 통지의무를 해태함으로 인하여 손해가 증가된 때에는 보험자는 그 증가된 손해를 보상할 책임이 없다.","4. 보험수익자는 보험사고발생의 통지의무자에 포함되지 않는다.","3","통지의무를 해태하여 손해가 증가된 경우 보험자는 그 증가된 손해에 대해 보상할 책임이 없다(상법 제658조).",""
"2021","상법(보험편)","13. 손해보험에 관한 설명으로 옳지 않은 것은? (단, 다른 약정이 없음을 전제로 함)","1. 보험사고로 인하여 상실된 피보험자가 얻을 보수는 보험자가 보상할 손해액에 산입하여야 한다.","2. 보험계약은 금전으로 산정할 수 있는 이익에 한하여 보험계약의 목적으로 할 수 있다.","3. 무효와 실권의 사유는 손해보험증권의 기재사항이다.","4. 당사자간에 보험가액을 정하지 아니한 때에는 사고발생시의 가액을 보험가액으로 한다.","1","보험사고로 인하여 상실된 피보험자가 얻을 '이익(보수)'은 원칙적으로 보상할 손해액에 산입하지 않는다(상법 제671조 간접손해 면책 원칙).",""
"2021","상법(보험편)","14. 보험금액의 지급에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)","1. 보험금액의 지급에 관하여 약정기간이 있는 경우, 보험자는 그 기간 내에 보험금액을 지급하여야 한다.","2. 보험금액의 지급에 관하여 약정기간이 없는 경우, 보험자는 보험사고발생의 통지를 받은 후 지체없이 지급할 보험금액을 정하여야 한다.","3. 보험금액의 지급에 관하여 약정기간이 없는 경우, 보험금액이 정하여진 날부터 1월내에 보험수익자에게 보험금액을 지급하여야 한다.","4. 보험계약자의 동의없이 보험자와 피보험자 사이에 한 보험금 지급기한 유예의 합의는 유효하다.","3","보험금액의 지급 약정기간이 없는 경우, 보험금액이 정하여진 날부터 '10일' 내에 보험금을 지급하여야 한다(상법 제658조).",""
"2021","상법(보험편)","15. 상법 제662조(소멸시효)에 관한 설명으로 옳은 것은?","1. 보험금청구권은 2년간 행사하지 아니하면 시효의 완성으로 소멸한다.","2. 보험료의 반환청구권은 3년간 행사하지 아니하면 시효의 완성으로 소멸한다.","3. 보험료청구권은 1년간 행사하지 아니하면 시효의 완성으로 소멸한다.","4. 적립금의 반환청구권은 2년간 행사하지 아니하면 시효의 완성으로 소멸한다.","2","보험금청구권 및 보험료반환청구권은 3년, 보험료청구권은 2년의 시효로 소멸한다. 따라서 2번(반환청구권 3년)이 옳다.",""
"2021","상법(보험편)","16. 보험계약자 등의 불이익변경금지에 관한 설명으로 옳지 않은 것은?","1. 상법 보험편의 규정은 당사자간의 특약으로 피보험자의 이익으로 변경하지 못한다.","2. 상법 보험편의 규정은 당사자간의 특약으로 보험수익자의 불이익으로 변경하지 못한다.","3. 해상보험의 경우 보험계약자 등의 불이익변경금지 규정은 적용되지 아니한다.","4. 재보험의 경우 보험계약자 등의 불이익변경금지 규정은 적용되지 아니한다.","1","상법 제663조에 따라 당사자 간의 특약으로 보험계약자 또는 피보험자, 보험수익자에게 '유리하게' 변경하는 것은 가능하다. '이익으로 변경하지 못한다'는 틀린 말이다.",""
"2021","상법(보험편)","17. 중복보험에 관한 설명으로 옳은 것을 모두 고른 것은?
ㄱ. 중복보험의 경우 보험자 1인에 대한 권리의 포기는 다른 보험자의 권리의무에 영향을 미치지 않는다.
ㄴ. 중복보험계약을 체결하는 경우에는 보험계약자는 각 보험자에 대하여 각 보험계약의 내용을 통지하여야 한다.
ㄷ. 중복보험에서 보험금액의 총액이 보험가액을 초과한 때에는 보험자는 각자의 보험금액의 한도에서 연대책임을 진다.","1. ㄱ","2. ㄱ, ㄴ","3. ㄴ, ㄷ","4. ㄱ, ㄴ, ㄷ","4","ㄱ, ㄴ, ㄷ 모두 상법상 중복보험에 관한 옳은 규정이다(상법 제672조, 제673조).",""
"2021","상법(보험편)","18. 甲은 보험가액이 2억원인 건물에 대하여 보험금액을 1억원으로 하는 손해보험에 가입하였다. 이에 관한 설명으로 옳지 않은 것은? (단, 다른 약정이 없음을 전제로 함)","1. 일부보험에 해당한다.","2. 전손(全損)인 경우에는 보험자는 1억원을 지급한다.","3. 1억원의 손해가 발생한 경우에는 보험자는 1억원을 지급한다.","4. 8천만원의 손해가 발생한 경우에는 보험자는 4천만원을 지급한다.","3","일부보험의 경우 손해액에 대해 보험금액/보험가액 비율로 보상한다. 1억원의 손해가 발생하면 1억 * (1억/2억) = 5천만원을 지급해야 한다.",""
"2021","상법(보험편)","19. 일부보험에 관한 설명으로 옳은 것은?","1. 계약체결의 시점에 의도적으로 보험가액보다 낮게 보험금액을 약정하는 것은 허용되지 않는다.","2. 일부보험에 관한 상법의 규정은 강행규정이다.","3. 일부보험의 경우에는 잔존물 대위가 인정되지 않는다.","4. 일부보험에 있어서 일부손해가 발생하여 비례보상원칙을 적용하면 손해액은 보상액보다 크다.","4","비례보상 원칙에 따라 일부손해 발생 시 손해액에 비례율을 곱하므로 보상액은 항상 실제 손해액보다 작거나 같다.",""
"2021","상법(보험편)","20. 손해액 산정에 관한 설명으로 옳지 않은 것은?","1. 보험사고로 인하여 상실된 피보험자가 얻을 이익은 당사자간에 다른 약정이 없으면 보험자가 보상할 손해액에 산입하지 아니한다.","2. 당사자간에 다른 약정이 있는 때에는 신품가액에 의하여 보험자가 보상할 손해액을 산정할 수 있다.","3. 손해액 산정에 필요한 비용은 보험자와 보험계약자 및 보험수익자가 공동으로 부담한다.","4. 손해보상은 원칙적으로 금전으로 하지만 당사자의 합의로 손해의 전부 또는 일부를 현물로 보상할 수 있다.","3","상법 제676조 제2항에 따라 손해액의 산정에 관한 비용은 보험자가 부담한다.",""
"2021","상법(보험편)","21. 손해보험에 관한 설명으로 옳지 않은 것은?","1. 보험자가 손해를 보상할 경우에 보험료의 지급을 받지 아니한 잔액이 있으면 그 지급 기일이 도래하지 아니한 때라도 보상할 금액에서 이를 공제할 수 있다.","2. 보험계약자가 손해의 방지와 경감을 위하여 필요 또는 유익하였던 비용과 보상액이 보험금액을 초과한 경우에는 보험자는 보험금액의 한도내에서 이를 부담한다.","3. 보험의 목적에 관하여 보험자가 부담할 손해가 생긴 경우에는 그 후 그 목적이 보험자가 부담하지 아니하는 보험사고의 발생으로 인하여 멸실된 때에도 보험자는 이미 생긴 손해를 보상할 책임을 면하지 못한다.","4. 보험의 목적의 자연소모로 인한 손해는 보험자가 이를 보상할 책임이 없다.","2","손해방지비용은 보상액과 합산하여 보험금액을 초과하더라도 보험자가 부담하여야 한다(상법 제685조).",""
"2021","상법(보험편)","22. 보험대위에 관한 설명으로 옳은 것은? (다툼이 있으면 판례에 따름)","1. 손해가 제3자의 행위로 인하여 발생한 경우에 보험금을 지급하기 전이라도 보험자는 그 제3자에 대한 보험계약자의 권리를 취득한다.","2. 잔존물대위가 성립하기 위해서는 보험목적의 전부가 멸실하여야 한다.","3. 잔존물에 대한 권리가 보험자에게 이전되는 시점은 보험자가 보험금액을 전부 지급하고, 물권변동 절차를 마무리한 때이다.","4. 재보험에 대하여는 제3자에 대한 보험자대위가 적용되지 않는다.","2","잔존물대위(상법 제681조)는 보험의 목적의 전부가 멸실하고 보험금액 전부를 지급한 때 성립한다.",""
"2021","상법(보험편)","23. 화재보험에 관한 설명으로 옳은 것은? (다툼이 있으면 판례에 따름)","1. 화재가 발생한 건물을 수리하면서 지출한 철거비와 폐기물처리비는 화재와 상당인과관계가 있는 건물수리비에는 포함되지 않는다.","2. 피보험자가 화재 진화를 위해 살포한 물로 보험목적이 훼손된 손해는 보상하지 않는다.","3. 불에 탈 수 있는 목조교량은 화재보험의 목적이 될 수 없다.","4. 보험자가 손해를 보상함에 있어서 화재와 손해 간에 상당인과관계가 필요하다.","4","보험자가 보상할 손해는 화재와 상당인과관계가 있어야 한다.",""
"2021","상법(보험편)","24. 건물을 화재보험의 목적으로 한 경우 화재보험증권의 법정기재사항이 아닌 것은?","1. 건물의 소재지, 구조와 용도","2. 보험가액을 정한 때에는 그 가액","3. 보험기간을 정한 때에는 그 시기와 종기","4. 설계감리법인의 주소와 성명 또는 상호","4","설계감리법인의 정보는 화재보험증권의 상법상 법정기재사항(제683조)에 해당하지 않는다.",""
"2021","상법(보험편)","25. 집합보험에 관한 설명으로 옳은 것은?","1. 피보험자의 가족의 물건은 보험의 목적에 포함되지 않는 것으로 한다.","2. 피보험자의 사용인의 물건은 보험의 목적에 포함되지 않는 것으로 한다.","3. 보험의 목적에 속한 물건이 보험기간중에 수시로 교체된 경우에는 보험사고의 발생 시에 현존한 물건이라도 보험의 목적에 포함되지 않는 것으로 한다.","4. 집합보험이란 경제적으로 독립한 여러 물건의 집합물을 보험의 목적으로 한 보험을 말한다.","4","집합보험은 경제적으로 독립된 여러 물건의 집합물을 하나의 보험 목적으로 삼는 것을 말한다(상법 제686조 등).",""
"2021","농어업재해보험법령","26. 농어업재해보험법상 용어의 설명으로 옳지 않은 것은?","1. “농어업재해보험”은 농어업재해로 발생하는 인명 및 재산 피해에 따른 손해를 보상하기 위한 보험을 말한다.","2. “어업재해”란 양식수산물 및 어업용 시설물에 발생하는 자연재해ㆍ질병 또는 화재를 말한다.","3. “농업재해”란 농작물ㆍ임산물ㆍ가축 및 농업용 시설물에 발생하는 자연재해ㆍ병충해ㆍ조수해(鳥獸害)ㆍ질병 또는 화재를 말한다.","4. “보험료”란 보험가입자와 보험사업자 간의 약정에 따라 보험가입자가 보험사업자에게 내야 하는 금액을 말한다.","1","농어업재해보험법 제2조에 따르면 농어업재해보험은 농어업재해로 발생하는 '농작물, 임산물, 가축 및 농어업용 시설물'의 피해를 보상하는 것이지 '인명 피해'를 보상하는 보험이 아니다.",""
"2021","농어업재해보험법령","27. 농어업재해보험법상 재해보험사업을 할 수 없는 자는?","1. 「농업협동조합법」에 따른 농업협동조합중앙회","2. 「수산업협동조합법」에 따른 수산업협동조합중앙회","3. 「보험업법」에 따른 보험회사","4. 「산림조합법」에 따른 산림조합중앙회","1","재해보험사업을 할 수 있는 자는 수산업협동조합중앙회, 산림조합중앙회, 보험회사 등이다. 농업협동조합법에 따른 농업협동조합중앙회는 법적 근거가 없다.",""
"2021","농어업재해보험법령","28. 농어업재해보험법상 재해보험에 관한 설명으로 옳지 않은 것은?","1. 재해보험에 가입할 수 있는 자는 농림업, 축산업, 양식수산업에 종사하는 개인 또는 법인으로 하고, 구체적인 보험가입자의 기준은 대통령령으로 정한다.","2. 「산림조합법」의 공제규정에 따른 공제모집인으로서 산림조합중앙회장이나 그 회원조합장이 인정하는 자는 재해보험을 모집할 수 있다.","3. 재해보험사업자는 사고 예방을 위하여 보험가입자가 납입한 보험료의 일부를 되돌려 줄 수 있다.","4. 「수산업협동조합법」에 따른 조합이 그 조합원에게 재해보험의 보험료 일부를 지원하는 경우에는 「보험업법」 상 해당 보험계약의 체결 또는 모집과 관련한 특별이익의 제공으로 본다.","4","농어업재해보험법 제29조에 따라 조합이 보험료 일부를 지원하는 것은 특별이익의 제공으로 보지 않는다.",""
"2021","농어업재해보험법령","29. 농어업재해보험법령상 손해평가에 관한 설명으로 옳은 것은?","1. 재해보험사업자는 「보험업법」에 따른 손해평가인에게 손해평가를 담당하게 할 수 있다.","2. 「고등교육법」에 따른 전문대학에서 임산물재배 관련 학과를 졸업한 사람은 손해평가인으로 위촉될 자격이 인정된다.","3. 농림축산식품부장관은 손해평가사가 공정하고 객관적인 손해평가를 수행할 수 있도록 연 1회 이상 정기교육을 실시하여야 한다.","4. 농림축산식품부장관 또는 해양수산부장관은 손해평가 요령을 고시하려면 미리 금융위원회와 협의하여야 한다.","4","농어업재해보험법 제11조의2 제2항에 따라 장관이 손해평가 요령을 고시하려면 금융위원회와 협의해야 한다.",""
"2021","농어업재해보험법령","30. 농어업재해보험법상 손해평가사에 관한 설명으로 옳은 것은?","1. 농림축산식품부장관과 해양수산부장관은 공정하고 객관적인 손해평가를 촉진하기 위하여 손해평가사 제도를 운영한다.","2. 임산물재해보험에 관한 피해사실의 확인은 손해평가사가 수행하는 업무에 해당하지 않는다.","3. 손해평가사 자격이 취소된 사람은 그 처분이 있은 날부터 3년이 지나지 아니한 경우 손해평가사 자격시험에 응시하지 못한다.","4. 손해평가사는 다른 사람에게 그 자격증을 대여해서는 아니 되나, 손해평가사 자격증의 대여를 알선하는 것은 허용된다.","2","피해사실의 확인은 손해평가사의 주된 업무 중 하나이다. 1번은 '운영'이 아닌 '시험 시행' 주체를 의미하며, 3번은 2년, 4번은 대여 및 알선 모두 금지다.",""
"2021","농어업재해보험법령","31. 농어업재해보험법상 농림축산식품부장관이 손해평가사 자격을 취소하여야 하는 대상을 모두 고른 것은?","1. ㄱ, ㄴ","2. ㄱ, ㄷ","3. ㄴ, ㄹ","4. ㄷ, ㄹ","2","자격을 '반드시' 취소해야 하는 사유(필요적 취소)는 '거짓이나 부정한 방법으로 자격 취득(ㄷ)' 및 '업무정지 기간 중 손해평가 업무 수행(ㄱ)'이다.",""
"2021","농어업재해보험법령","32. 농어업재해보험법령상 보험금 수급권에 관한 설명으로 옳은 것은?","1. 재해보험사업자는 보험금을 현금으로 지급하여야 하나, 불가피한 사유가 있을 때에는 수급권자의 신청이 없더라도 수급권자 명의의 계좌로 입금할 수 있다.","2. 재해보험가입자가 재해보험에 가입된 보험목적물을 양도하는 경우 그 양수인은 재해보험계약에 관한 양도인의 권리 및 의무를 승계한다.","3. 재해보험의 보험목적물이 담보로 제공된 경우에는 보험금을 지급받을 권리를 압류할 수 있다.","4. 농작물의 재생산에 직접적으로 소요되는 비용의 보장을 목적으로 보험금수급전용계좌로 입금된 보험금의 경우 그 2분의 1에 해당하는 액수 이하의 금액에 관하여는 채권을 압류할 수 있다.","3","보험목적물이 담보로 제공되어도 보험금 수급권은 압류 대상이 될 수 있다. 4번의 경우 재생산 비용 보장 보험금은 전액 압류 금지다.",""
"2021","농어업재해보험법령","33. 농어업재해보험법령상 재해보험사업자가 재해보험 업무의 일부를 위탁할 수 있는 자가 아닌 것은?","1. 「농업협동조합법」에 따라 설립된 지역축산업협동조합","2. 「농업ㆍ농촌 및 식품산업 기본법」에 따라 설립된 농업정책보험금융원","3. 「산림조합법」에 따라 설립된 품목별ㆍ업종별산림조합","4. 「보험업법」에 따라 손해사정을 업으로 하는 자","2","농업정책보험금융원은 농림축산식품부장관으로부터 사무를 위탁받는 곳이지, 재해보험사업자가 업무를 위탁하는 곳이 아니다.",""
"2021","농어업재해보험법령","34. 농어업재해보험법상 재정지원에 관한 설명으로 옳은 것은?","1. 정부는 예산의 범위에서 재해보험가입자가 부담하는 보험료의 전부 또는 일부를 지원할 수 있다.","2. 지방자치단체는 예산의 범위에서 재해보험사업자의 재해보험의 운영 및 관리에 필요한 비용의 전부 또는 일부를 지원할 수 있다.","3. 농림축산식품부장관은 정부의 보험료 지원 금액을 재해보험가입자에게 지급하여야 한다.","4. 「풍수해보험법」에 따른 풍수해보험에 가입한 자가 동일한 보험목적물을 대상으로 재해보험에 가입할 경우에는 정부가 재정지원을 하지 아니한다.","4","중복 지원 방지를 위해 풍수해보험법에 따라 지원받는 경우 농어업재해보험의 재정지원을 하지 않는다.",""
"2021","농어업재해보험법령","35. 농어업재해보험법령상 재보험사업 및 농어업재해재보험기금(이하 “기금”이라 함)에 관한 설명으로 옳지 않은 것은?","1. 기금은 기금의 관리ㆍ운용에 필요한 경비의 지출에 사용할 수 없다.","2. 농림축산식품부장관은 해양수산부장관과 협의하여 기금의 수입과 지출을 명확히 하기 위하여 한국은행에 기금계정을 설치하여야 한다.","3. 재보험금의 회수 자금은 기금 조성의 재원에 포함된다.","4. 정부는 재해보험에 관한 재보험사업을 할 수 있다.","1","기금은 기금의 관리·운용에 필요한 경비로 지출할 수 있다(농어업재해보험법 제23조).",""
"2021","농어업재해보험법령","36. 농어업재해보험법상 농어업재해재보험기금(이하 “기금”이라 함)에 관한 설명으로 옳지 않은 것은?","1. 기금은 농림축산식품부장관이 해양수산부장관과 협의하여 관리ㆍ운용한다.","2. 농림축산식품부장관은 해양수산부장관과 협의를 거쳐 기금의 관리ㆍ운용에 관한 사무의 일부를 농업정책보험금융원에 위탁할 수 있다.","3. 농림축산식품부장관은 해양수산부장관과 협의하여 기금의 수입과 지출에 관한 사무를 수행하게 하기 위하여 소속 공무원 중에서 기금수입징수관 등을 임명한다.","4. 농림축산식품부장관이 농업정책보험금융원의 임원 중에서 임명한 기금지출원인행위 담당임원은 기금지출관의 업무를 수행한다.","4","기금지출관은 농업정책보험금융원의 임원 중에서 임명되는 것이 아니라 기금 관리 주체인 장관이 소속 공무원 중에서 임명하거나 위탁기관의 임원 등급에서 지정한다. 4번은 세부 임명 절차에서 오류가 있다.",""
"2021","농어업재해보험법령","37. 농어업재해보험법령상 보험가입촉진계획에 포함되어야 하는 사항을 모두 고른 것은?","1. ㄱ, ㄴ","2. ㄱ, ㄷ","3. ㄴ, ㄷ","4. ㄱ, ㄴ, ㄷ","4","ㄱ, ㄴ, ㄷ 모두 보험가입촉진계획에 포함되어야 하는 법정 사항이다.",""
"2021","농어업재해보험법령","38. 농어업재해보험법상 벌칙에 관한 설명이다. ( )에 들어갈 내용은? '보험업법 제98조에 따른 금품 등을 제공...한 자 또는 이를 요구하여 받은 보험가입자는 ( ㄱ )년 이하의 징역 또는 ( ㄴ )천만원 이하의 벌금에 처한다.'","1. ㄱ: 1, ㄴ: 1","2. ㄱ: 1, ㄴ: 3","3. ㄱ: 3, ㄴ: 3","4. ㄱ: 3, ㄴ: 5","3","농어업재해보험법 제30조에 따라 특별이익 제공 및 수수 금지 위반 시 3년 이하의 징역 또는 3천만원 이하의 벌금에 처한다.",""
"2021","농어업재해보험법령","39. 농업재해보험 손해평가요령상 손해평가인 위촉에 관한 규정이다. ( )에 들어갈 내용은? '재해보험사업자는 피해 발생 시 원활한 손해평가가 이루어지도록 농업재해보험이 실시되는 ( )별 보험가입자의 수 등을 고려하여 적정 규모의 손해평가인을 위촉하여야 한다.'","1. 시ㆍ도","2. 읍ㆍ면ㆍ동","3. 시ㆍ군ㆍ자치구","4. 특별자치도ㆍ특별자치시","3","손해평가인 위촉은 시·군·자치구별로 보험가입자 수를 고려하여 이루어진다.",""
